device_equip_type,device_eq_description,device_vendor,device_model,device_serial_number,device_ip,device_version_summary,device_mgmt_ip,device_fw_type,device_fw_version,device_contact,device_location,device_hostname,unique_id,device_object,org_id,parent_sn,CLLI_code,collection_timestamp,target,total_eth_ports,up_eth_ports,down_eth_ports,admin_down_eth_ports,device,node_label,node_type,node_id,device_status,timestamp,device_role,_RDA_Id,count_,projectId,customerId,location_locationName,location_longitude,location_latitude,Country,State,City,device_additional_ips,family,Product_Family,product_type,__uuid
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan131,Interface,,,Rack2-Sw,2025-03-20T12:54:48.451513,,,,,,,,,,,2025-03-20T12:54:50.110760,,17424752903910459990c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan130,Interface,,,Rack2-Sw,2025-03-20T12:54:48.451301,,,,,,,,,,,2025-03-20T12:54:50.110706,,17424752903910459890c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan129,Interface,,,Rack2-Sw,2025-03-20T12:54:48.451078,,,,,,,,,,,2025-03-20T12:54:50.110652,,17424752903910459790c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan128,Interface,,,Rack2-Sw,2025-03-20T12:54:48.450852,,,,,,,,,,,2025-03-20T12:54:50.110597,,17424752903910459690c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan127,Interface,,,Rack2-Sw,2025-03-20T12:54:48.450621,,,,,,,,,,,2025-03-20T12:54:50.110531,,17424752903910459590c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan126,Interface,,,Rack2-Sw,2025-03-20T12:54:48.450416,,,,,,,,,,,2025-03-20T12:54:50.110479,,17424752903910459490c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan125,Interface,,,Rack2-Sw,2025-03-20T12:54:48.450211,,,,,,,,,,,2025-03-20T12:54:50.110427,,17424752903910459390c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan124,Interface,,,Rack2-Sw,2025-03-20T12:54:48.449999,,,,,,,,,,,2025-03-20T12:54:50.110374,,17424752903910459290c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan122,Interface,,,Rack2-Sw,2025-03-20T12:54:48.449765,,,,,,,,,,,2025-03-20T12:54:50.110320,,17424752903910459190c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan121,Interface,,,Rack2-Sw,2025-03-20T12:54:48.449558,,,,,,,,,,,2025-03-20T12:54:50.110268,,17424752903910459090c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan120,Interface,,,Rack2-Sw,2025-03-20T12:54:48.449347,,,,,,,,,,,2025-03-20T12:54:50.110216,,17424752903910458990c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan119,Interface,,,Rack2-Sw,2025-03-20T12:54:48.449112,,,,,,,,,,,2025-03-20T12:54:50.110164,,17424752903910458890c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan118,Interface,,,Rack2-Sw,2025-03-20T12:54:48.448878,,,,,,,,,,,2025-03-20T12:54:50.110108,,17424752903910458790c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan117,Interface,,,Rack2-Sw,2025-03-20T12:54:48.448660,,,,,,,,,,,2025-03-20T12:54:50.110044,,17424752903910458690c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan116,Interface,,,Rack2-Sw,2025-03-20T12:54:48.448402,,,,,,,,,,,2025-03-20T12:54:50.109989,,17424752903910458590c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan115,Interface,,,Rack2-Sw,2025-03-20T12:54:48.448146,,,,,,,,,,,2025-03-20T12:54:50.109936,,17424752903910458490c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan114,Interface,,,Rack2-Sw,2025-03-20T12:54:48.447917,,,,,,,,,,,2025-03-20T12:54:50.109883,,17424752903910458390c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan113,Interface,,,Rack2-Sw,2025-03-20T12:54:48.447674,,,,,,,,,,,2025-03-20T12:54:50.109832,,17424752903910458290c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan112,Interface,,,Rack2-Sw,2025-03-20T12:54:48.447256,,,,,,,,,,,2025-03-20T12:54:50.109780,,17424752903910458190c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan111,Interface,,,Rack2-Sw,2025-03-20T12:54:48.446809,,,,,,,,,,,2025-03-20T12:54:50.109728,,17424752903910458090c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan110,Interface,,,Rack2-Sw,2025-03-20T12:54:48.446470,,,,,,,,,,,2025-03-20T12:54:50.109675,,17424752903910457990c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan109,Interface,,,Rack2-Sw,2025-03-20T12:54:48.445977,,,,,,,,,,,2025-03-20T12:54:50.109620,,17424752903910457890c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan108,Interface,,,Rack2-Sw,2025-03-20T12:54:48.445775,,,,,,,,,,,2025-03-20T12:54:50.109563,,17424752903910457790c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan107,Interface,,,Rack2-Sw,2025-03-20T12:54:48.445570,,,,,,,,,,,2025-03-20T12:54:50.109494,,17424752903910457690c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan106,Interface,,,Rack2-Sw,2025-03-20T12:54:48.445355,,,,,,,,,,,2025-03-20T12:54:50.109439,,17424752903910457590c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan105,Interface,,,Rack2-Sw,2025-03-20T12:54:48.445122,,,,,,,,,,,2025-03-20T12:54:50.109375,,17424752903910457490c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan104,Interface,,,Rack2-Sw,2025-03-20T12:54:48.444899,,,,,,,,,,,2025-03-20T12:54:50.109320,,17424752903910457390c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan103,Interface,,,Rack2-Sw,2025-03-20T12:54:48.444696,,,,,,,,,,,2025-03-20T12:54:50.109266,,17424752903910457290c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan102,Interface,,,Rack2-Sw,2025-03-20T12:54:48.444493,,,,,,,,,,,2025-03-20T12:54:50.109215,,17424752903910457190c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan101,Interface,,,Rack2-Sw,2025-03-20T12:54:48.444289,,,,,,,,,,,2025-03-20T12:54:50.109164,,17424752903910457090c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan100,Interface,,,Rack2-Sw,2025-03-20T12:54:48.444080,,,,,,,,,,,2025-03-20T12:54:50.109110,,17424752903910456990c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan2,Interface,,,Rack2-Sw,2025-03-20T12:54:48.443843,,,,,,,,,,,2025-03-20T12:54:50.109050,,17424752903910456890c6c138,1,,,,,,,,,,,,,
,WS-C2960S-24TS-S,Cisco Systems,WS-C2960S-24TS-S,FOC1732W3D2,10.95.158.251,,10.95.158.251,Cisco IOS,15.0(2)SE6,dev-team,"HQ-DC01-R04, Pleasanton, CA",Rack2-Switch-2.cfx.local,10.95.158.251_Vlan1,Interface,,,Rack2-Sw,2025-03-20T12:54:48.443636,,,,,,,,,,,2025-03-20T12:54:50.108998,,17424752903910456790c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 2000,Interface,,,cisco-ra,2025-03-20T12:54:48.443424,,,,,,,,,,,2025-03-20T12:54:50.108944,,17424752903910456690c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1019,Interface,,,cisco-ra,2025-03-20T12:54:48.443203,,,,,,,,,,,2025-03-20T12:54:50.108891,,17424752903910456590c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1018,Interface,,,cisco-ra,2025-03-20T12:54:48.442866,,,,,,,,,,,2025-03-20T12:54:50.108840,,17424752903910456490c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1017,Interface,,,cisco-ra,2025-03-20T12:54:48.442529,,,,,,,,,,,2025-03-20T12:54:50.108789,,17424752903910456390c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1016,Interface,,,cisco-ra,2025-03-20T12:54:48.442180,,,,,,,,,,,2025-03-20T12:54:50.108737,,17424752903910456290c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1015,Interface,,,cisco-ra,2025-03-20T12:54:48.441943,,,,,,,,,,,2025-03-20T12:54:50.108685,,17424752903910456190c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1014,Interface,,,cisco-ra,2025-03-20T12:54:48.441720,,,,,,,,,,,2025-03-20T12:54:50.108634,,17424752903910456090c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1013,Interface,,,cisco-ra,2025-03-20T12:54:48.441500,,,,,,,,,,,2025-03-20T12:54:50.108578,,17424752903910455990c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1012,Interface,,,cisco-ra,2025-03-20T12:54:48.441281,,,,,,,,,,,2025-03-20T12:54:50.108511,,17424752903910455890c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 1011,Interface,,,cisco-ra,2025-03-20T12:54:48.441058,,,,,,,,,,,2025-03-20T12:54:50.108458,,17424752903910455790c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 903,Interface,,,cisco-ra,2025-03-20T12:54:48.440822,,,,,,,,,,,2025-03-20T12:54:50.108407,,17424752903910455690c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 200,Interface,,,cisco-ra,2025-03-20T12:54:48.440599,,,,,,,,,,,2025-03-20T12:54:50.108355,,17424752903910455590c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 150,Interface,,,cisco-ra,2025-03-20T12:54:48.440367,,,,,,,,,,,2025-03-20T12:54:50.108302,,17424752903910455490c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 149,Interface,,,cisco-ra,2025-03-20T12:54:48.440052,,,,,,,,,,,2025-03-20T12:54:50.108251,,17424752903910455390c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 148,Interface,,,cisco-ra,2025-03-20T12:54:48.439813,,,,,,,,,,,2025-03-20T12:54:50.108195,,17424752903910455290c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 147,Interface,,,cisco-ra,2025-03-20T12:54:48.439608,,,,,,,,,,,2025-03-20T12:54:50.108141,,17424752903910455190c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 146,Interface,,,cisco-ra,2025-03-20T12:54:48.439403,,,,,,,,,,,2025-03-20T12:54:50.108089,,17424752903910455090c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 145,Interface,,,cisco-ra,2025-03-20T12:54:48.439187,,,,,,,,,,,2025-03-20T12:54:50.108038,,17424752903910454990c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 144,Interface,,,cisco-ra,2025-03-20T12:54:48.438967,,,,,,,,,,,2025-03-20T12:54:50.107987,,17424752903910454890c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 143,Interface,,,cisco-ra,2025-03-20T12:54:48.438763,,,,,,,,,,,2025-03-20T12:54:50.107936,,17424752903910454790c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 142,Interface,,,cisco-ra,2025-03-20T12:54:48.438556,,,,,,,,,,,2025-03-20T12:54:50.107885,,17424752903910454690c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 141,Interface,,,cisco-ra,2025-03-20T12:54:48.438349,,,,,,,,,,,2025-03-20T12:54:50.107833,,17424752903910454590c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 140,Interface,,,cisco-ra,2025-03-20T12:54:48.438137,,,,,,,,,,,2025-03-20T12:54:50.107780,,17424752903910454490c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 139,Interface,,,cisco-ra,2025-03-20T12:54:48.437915,,,,,,,,,,,2025-03-20T12:54:50.107728,,17424752903910454390c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 138,Interface,,,cisco-ra,2025-03-20T12:54:48.437711,,,,,,,,,,,2025-03-20T12:54:50.107675,,17424752903910454290c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 137,Interface,,,cisco-ra,2025-03-20T12:54:48.437504,,,,,,,,,,,2025-03-20T12:54:50.107621,,17424752903910454190c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 136,Interface,,,cisco-ra,2025-03-20T12:54:48.437301,,,,,,,,,,,2025-03-20T12:54:50.107564,,17424752903910454090c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 135,Interface,,,cisco-ra,2025-03-20T12:54:48.437092,,,,,,,,,,,2025-03-20T12:54:50.107497,,17424752903910453990c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 134,Interface,,,cisco-ra,2025-03-20T12:54:48.436847,,,,,,,,,,,2025-03-20T12:54:50.107444,,17424752903910453890c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 133,Interface,,,cisco-ra,2025-03-20T12:54:48.436557,,,,,,,,,,,2025-03-20T12:54:50.107387,,17424752903910453790c6c138,1,,,,,,,,,,,,,
,WS-C3650-48PQ-E,Cisco Systems,WS-C3650-48PQ-E,FDO2106E06M,10.95.158.83,,10.95.158.83,Cisco IOS,16.12.5prd2,Not Available,Not Available,cisco-rack-01,10.95.158.83_unrouted VLAN 132,Interface,,,cisco-ra,2025-03-20T12:54:48.436353,,,,,,,,,,,2025-03-20T12:54:50.107207,,17424752903910453690c6c138,1,,,,,,,,,,,,,
